362
45 60
1 6 5
1 7 5
2 4 5
3 3 5
3 5 5
3 6 5
3 7 5
3 8 5
3 9 5
4 4 5
4 5 5
4 6 5
4 8 5
5 3 5
5 5 5
5 7 5
6 2 5
6 3 5
6 4 5
6 5 5
6 8 5
6 9 5
6 10 5
6 25 3
6 26 3
6 28 3
6 29 3
7 2 5
7 4 5
7 5 5
7 6 5
7 7 5
7 8 5
7 9 5
7 10 5
7 24 3
7 26 3
7 27 3
7 28 3
7 29 3
7 30 3
8 2 5
8 3 5
8 4 5
8 5 5
8 7 5
8 25 3
8 27 3
8 28 3
8 29 3
8 31 3
8 32 3
9 3 5
9 6 5
9 7 5
9 8 5
9 9 5
9 24 3
9 25 3
9 27 3
9 29 3
9 30 3
9 31 3
9 32 3
9 33 3
9 34 3
10 2 5
10 3 5
10 5 5
10 7 5
10 8 5
10 10 5
10 22 3
10 25 3
10 27 3
10 28 3
10 30 3
10 31 3
10 33 3
10 34 3
11 4 5
11 5 5
11 7 5
11 9 5
11 12 5
11 22 3
11 23 3
11 27 3
11 30 3
11 31 3
11 32 3
11 33 3
11 34 3
12 3 5
12 4 5
12 6 5
12 7 5
12 10 5
12 11 5
12 25 3
12 27 3
12 29 3
12 31 3
12 51 1
12 52 1
12 53 1
13 5 5
13 6 5
13 8 5
13 9 5
13 24 3
13 26 3
13 28 3
13 30 3
13 32 3
13 33 3
14 7 5
14 25 3
14 26 3
14 27 3
14 28 3
14 29 3
14 30 3
14 32 3
14 33 3
14 49 1
14 50 1
14 51 1
14 54 1
14 55 1
14 56 1
15 4 5
15 5 5
15 9 5
15 10 5
15 26 3
15 28 3
15 29 3
15 31 3
15 32 3
15 51 1
15 52 1
15 53 1
16 27 3
16 29 3
16 30 3
16 32 3
16 33 3
16 52 1
16 53 1
16 54 1
17 26 3
17 28 3
17 50 1
17 51 1
17 52 1
17 53 1
17 55 1
17 56 1
17 57 1
18 53 1
18 54 1
18 55 1
18 56 1
19 49 1
19 50 1
19 51 1
19 52 1
19 54 1
19 55 1
19 56 1
20 51 1
20 52 1
20 53 1
20 54 1
21 48 1
21 49 1
21 50 1
21 55 1
21 56 1
21 57 1
22 50 1
22 51 1
22 52 1
22 53 1
23 53 1
23 54 1
23 55 1
23 56 1
24 50 1
24 51 1
24 52 1
24 53 1
25 55 1
25 56 1
25 57 1
26 2 4
26 3 4
26 4 4
26 7 4
26 8 4
26 52 1
26 53 1
26 54 1
27 3 4
27 5 4
27 6 4
27 7 4
27 8 4
28 4 4
28 6 4
28 7 4
28 9 4
28 10 4
28 11 4
28 12 4
28 29 6
28 30 6
29 2 4
29 3 4
29 5 4
29 6 4
29 7 4
29 8 4
29 29 6
29 30 6
29 32 6
29 33 6
30 2 4
30 3 4
30 4 4
30 5 4
30 7 4
30 10 4
30 11 4
30 26 6
30 27 6
30 32 6
30 33 6
31 1 4
31 2 4
31 3 4
31 5 4
31 6 4
31 9 4
31 10 4
31 26 6
31 27 6
31 29 6
31 30 6
31 33 6
31 34 6
32 2 4
32 3 4
32 6 4
32 7 4
32 25 6
32 26 6
32 28 6
32 29 6
32 32 6
32 33 6
33 3 4
33 4 4
33 5 4
33 7 4
33 8 4
33 9 4
33 26 6
33 27 6
33 30 6
33 31 6
34 5 4
34 6 4
34 7 4
34 28 6
34 29 6
34 30 6
35 1 4
35 2 4
35 3 4
35 26 6
35 27 6
35 30 6
35 31 6
36 3 4
36 4 4
36 5 4
36 25 6
36 26 6
36 27 6
36 29 6
36 30 6
36 31 6
36 33 6
36 34 6
36 35 6
36 52 2
36 53 2
36 54 2
36 55 2
37 26 6
37 27 6
37 30 6
37 31 6
37 53 2
37 54 2
37 55 2
37 56 2
38 29 6
38 30 6
38 31 6
38 33 6
38 34 6
38 35 6
38 52 2
38 53 2
38 54 2
38 55 2
39 26 6
39 27 6
39 28 6
39 29 6
39 30 6
39 31 6
39 33 6
39 34 6
39 35 6
39 54 2
39 55 2
39 56 2
39 57 2
40 51 2
40 52 2
40 53 2
40 54 2
41 26 6
41 27 6
41 30 6
41 31 6
41 55 2
41 56 2
41 57 2
41 58 2
42 28 6
42 29 6
42 30 6
42 32 6
42 33 6
42 34 6
42 53 2
42 54 2
42 55 2
42 56 2
43 26 6
43 27 6
43 30 6
43 31 6
43 52 2
43 53 2
43 54 2
43 55 2
